Text,,Price,Mileage,Certified?,Year,Package
"Certified 2014 Toyota Prius Two     Save    $15,983   1 mile",Certified 2014 Toyota Prius Two,15983,1,1,2014,Two
"Used 2016 Toyota Prius Three     Save    $27,995   1,045 mi",Used 2016 Toyota Prius Three,27995,"1,045",0,2016,Three
"Used 2016 Toyota Prius Three     Save    $25,998   1,052 mi",Used 2016 Toyota Prius Three,25998,"1,052",0,2016,Three
"Used 2015 Toyota Prius Three     Save    $20,500   1,058 mi",Used 2015 Toyota Prius Three,20500,"1,058",0,2015,Three
"Certified 2016 Toyota Prius THREE TOURING     Save    $27,891   1,122 mi",Certified 2016 Toyota Prius THREE TOURING,27891,"1,122",1,2016,THREE
"Certified 2015 Toyota Prius Three     Save    $23,900   1,198 mi",Certified 2015 Toyota Prius Three,23900,"1,198",1,2015,Three
"Used 2016 Toyota Prius Four     Save    $31,376   1,247 mi",Used 2016 Toyota Prius Four,31376,"1,247",0,2016,Four
"Used 2015 Toyota Prius Three     Save    $24,988   1,384 mi",Used 2015 Toyota Prius Three,24988,"1,384",0,2015,Three
"Certified 2016 Toyota Prius Three Touring     Save    $25,999   1,400 mi",Certified 2016 Toyota Prius Three Touring,25999,"1,400",1,2016,Three
"Certified 2016 Toyota Prius Three Touring     Save    $26,856   1,571 mi",Certified 2016 Toyota Prius Three Touring,26856,"1,571",1,2016,Three
"Used 2015 Toyota Prius Two     Save    $22,800   1,625 mi",Used 2015 Toyota Prius Two,22800,"1,625",0,2015,Two
"Used 2015 Toyota Prius Two     Save    $19,988   1,656 mi",Used 2015 Toyota Prius Two,19988,"1,656",0,2015,Two
"Certified 2016 Toyota Prius FOUR TOURING     Save    $30,991   1,741 mi",Certified 2016 Toyota Prius FOUR TOURING,30991,"1,741",1,2016,FOUR
"Certified 2015 Toyota Prius Three     Save    $21,980   1,790 mi",Certified 2015 Toyota Prius Three,21980,"1,790",1,2015,Three
"Certified 2015 Toyota Prius Two Model     Save    $22,995   1,854 mi",Certified 2015 Toyota Prius Two Model,22995,"1,854",1,2015,Two
"Certified 2016 Toyota Prius Two     Save    $23,995   1,923 mi",Certified 2016 Toyota Prius Two,23995,"1,923",1,2016,Two
"Used 2016 Toyota Prius Three Touring     Save    $26,694   1,981 mi",Used 2016 Toyota Prius Three Touring,26694,"1,981",0,2016,Three
"Used 2015 Toyota Prius Two     Save    $21,400   1,987 mi",Used 2015 Toyota Prius Two,21400,"1,987",0,2015,Two
"Used 2014 Toyota Prius Three     Save    $18,999   10,033 mi",Used 2014 Toyota Prius Three,18999,"10,033",0,2014,Three
"Certified 2014 Toyota Prius Two Model     Save    $18,581   10,112 mi",Certified 2014 Toyota Prius Two Model,18581,"10,112",1,2014,Two
"Certified 2015 Toyota Prius Three Model     Save    $24,995   10,148 mi",Certified 2015 Toyota Prius Three Model,24995,"10,148",1,2015,Three
"Used 2014 Toyota Prius Two     Save    $18,000   10,251 mi",Used 2014 Toyota Prius Two,18000,"10,251",0,2014,Two
"Used 2014 Toyota Prius Four     Save    $22,495   10,260 mi",Used 2014 Toyota Prius Four,22495,"10,260",0,2014,Four
"Certified 2013 Toyota Prius Three     Save    $17,977   10,314 mi",Certified 2013 Toyota Prius Three,17977,"10,314",1,2013,Three
"Used 2013 Toyota Prius      Save    $13,999   10,318 mi",Used 2013 Toyota Prius,13999,"10,318",0,2013,
"Certified 2015 Toyota Prius Three     Save    $20,322   10,320 mi",Certified 2015 Toyota Prius Three,20322,"10,320",1,2015,Three
"Used 2012 Toyota Prius Four     Save    $22,995   10,409 mi",Used 2012 Toyota Prius Four,22995,"10,409",0,2012,Four
"Certified 2015 Toyota Prius      Save    $18,976   10,468 mi",Certified 2015 Toyota Prius,18976,"10,468",1,2015,
"Used 2014 Toyota Prius      Save    $19,900   10,488 mi",Used 2014 Toyota Prius,19900,"10,488",0,2014,
"Used 2015 Toyota Prius      Save    $21,995   10,507 mi",Used 2015 Toyota Prius,21995,"10,507",0,2015,
"Certified 2013 Toyota Prius Two     Save    $18,999   10,535 mi",Certified 2013 Toyota Prius Two,18999,"10,535",1,2013,Two
"Used 2014 Toyota Prius Three     Save    $18,499   10,555 mi",Used 2014 Toyota Prius Three,18499,"10,555",0,2014,Three
"Used 2014 Toyota Prius      Save    $18,881   10,591 mi",Used 2014 Toyota Prius,18881,"10,591",0,2014,
"Certified 2015 Toyota Prius Three     Save    $22,988   10,626 mi",Certified 2015 Toyota Prius Three,22988,"10,626",1,2015,Three
"Used 2013 Toyota Prius Two     Save    $18,900   10,643 mi",Used 2013 Toyota Prius Two,18900,"10,643",0,2013,Two
"Certified 2014 Toyota Prius Two Model     Save    $18,168   10,680 mi",Certified 2014 Toyota Prius Two Model,18168,"10,680",1,2014,Two
"Certified 2013 Toyota Prius Three     Save    $18,362   10,689 mi",Certified 2013 Toyota Prius Three,18362,"10,689",1,2013,Three
"Certified 2013 Toyota Prius Two     Save    $16,777   10,696 mi",Certified 2013 Toyota Prius Two,16777,"10,696",1,2013,Two
"Certified 2014 Toyota Prius Three     Save    $19,000   10,719 mi",Certified 2014 Toyota Prius Three,19000,"10,719",1,2014,Three
"Certified 2015 Toyota Prius      Save    $20,788   10,741 mi",Certified 2015 Toyota Prius,20788,"10,741",1,2015,
"Used 2015 Toyota Prius Two     Save    $19,000   10,753 mi",Used 2015 Toyota Prius Two,19000,"10,753",0,2015,Two
"Used 2013 Toyota Prius Two     Save    $16,995   10,753 mi",Used 2013 Toyota Prius Two,16995,"10,753",0,2013,Two
"Used 2014 Toyota Prius Two     Save    $18,995   10,850 mi",Used 2014 Toyota Prius Two,18995,"10,850",0,2014,Two
"Certified 2013 Toyota Prius Four Model     Save    $25,000   10,856 mi",Certified 2013 Toyota Prius Four Model,25000,"10,856",1,2013,Four
"Certified 2015 Toyota Prius Two Model     Save    $21,998   10,858 mi",Certified 2015 Toyota Prius Two Model,21998,"10,858",1,2015,Two
"Certified 2014 Toyota Prius Four     Save    $21,995   10,880 mi",Certified 2014 Toyota Prius Four,21995,"10,880",1,2014,Four
"Used 2013 Toyota Prius One     Save    $15,800   10,890 mi",Used 2013 Toyota Prius One,15800,"10,890",0,2013,One
"Certified 2015 Toyota Prius Four     Save    $22,388   10,917 mi",Certified 2015 Toyota Prius Four,22388,"10,917",1,2015,Four
"Used 2015 Toyota Prius Three     Save    $19,995   10,930 mi",Used 2015 Toyota Prius Three,19995,"10,930",0,2015,Three
"Used 2012 Toyota Prius Four     Save    $17,990   10,995 mi",Used 2012 Toyota Prius Four,17990,"10,995",0,2012,Four
"Used 2013 Toyota Prius PERSONA     Save    $14,288   101,107 mi",Used 2013 Toyota Prius PERSONA,14288,"101,107",0,2013,PERSONA
"Used 2010 Toyota Prius Base     Save    $15,580   102,035 mi",Used 2010 Toyota Prius Base,15580,"102,035",0,2010,Base
"Used 2013 Toyota Prius PERSONA     Save    $14,995   107,801 mi",Used 2013 Toyota Prius PERSONA,14995,"107,801",0,2013,PERSONA
"Used 2013 Toyota Prius Four     Save    $14,985   109,460 mi",Used 2013 Toyota Prius Four,14985,"109,460",0,2013,Four
"Certified 2014 Toyota Prius Two     Save    $16,993   11,079 mi",Certified 2014 Toyota Prius Two,16993,"11,079",1,2014,Two
"Used 2015 Toyota Prius Three     Save    $19,893   11,099 mi",Used 2015 Toyota Prius Three,19893,"11,099",0,2015,Three
"Certified 2015 Toyota Prius Two Model     Save    $19,990   11,142 mi",Certified 2015 Toyota Prius Two Model,19990,"11,142",1,2015,Two
"Used 2014 Toyota Prius Three     Save    $19,995   11,165 mi",Used 2014 Toyota Prius Three,19995,"11,165",0,2014,Three
"Certified 2013 Toyota Prius Two     Save    $17,800   11,219 mi",Certified 2013 Toyota Prius Two,17800,"11,219",1,2013,Two
"Certified 2015 Toyota Prius Two     Save    $19,882   11,273 mi",Certified 2015 Toyota Prius Two,19882,"11,273",1,2015,Two
